girl,std_mark,realpercentile,kcpe2001,kcpe2004,total_2004,rotation,total1_2005,streams1_2005,init_clsize,Nteachers,gradesize,schoolsize,Y2,schoolid,streamsize,Y1,Nteachers_prim,treatment,costs
1,1.7608641,96.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,4.0714283,16,0,0
0,-1.0490483,15.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,1.7,16,0,0
1,2.0989552,97.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,8.307142,16,0,0
0,0.5888151,73.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,1.1142857,16,0,0
1,-0.44799748,51.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,9.0,16,0,0
1,1.6256278,94.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,4.457143,16,0,0
0,-1.2744423,6.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,0.0,16,0,0
0,-0.31276107,49.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,0.45,16,0,0
0,-1.3495736,4.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,6.0,16,0,0
1,-0.37286612,45.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,2.65,16,0,0
0,-0.82365423,31.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,2.3428571,16,0,0
1,-1.2368766,8.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,3.7428572,16,0,0
1,-0.12493269,55.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,8.264286,16,0,0
0,-0.95638806,19.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,52.0,22.87857,11,1,28
0,-1.1767079,7.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,52.0,3.15,11,1,28
1,-1.3419477,3.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,52.0,1.7714286,11,1,28
1,1.6874492,100.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,52.0,26.75,11,1,28
1,-0.020029008,60.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,52.0,16.6,11,1,28
0,1.4671295,88.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,52.0,24.942858,11,1,28
0,-0.020029008,59.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,52.0,15.264286,11,1,28
1,-1.0665479,14.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,52.0,3.5857143,11,1,28
1,-0.6809883,29.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,52.0,5.6,11,1,28
1,-0.4055886,39.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,52.0,20.528572,11,1,28
1,1.6874492,92.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,52.0,8.721429,11,1,28
1,-0.020029008,59.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,52.0,8.228571,11,1,28
0,2.2933285,97.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,52.0,32.92143,11,1,28
0,-1.0114679,23.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,52.0,0.0,11,1,28
0,-0.24034879,61.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,52.0,13.407143,11,1,28
0,1.1917298,87.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,52.0,18.47857,11,1,28
0,-0.95638806,25.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,52.0,10.292857,11,1,28
0,-1.0114679,17.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,52.0,6.45,11,1,28
0,0.91633004,82.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,52.0,26.042858,11,1,28
1,-0.29542872,46.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,52.0,6.3500004,11,1,28
1,1.0815699,84.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,52.0,20.264286,11,1,28
1,-0.9013081,21.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,5.6142855,11,1,30
0,-0.29542872,44.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,0.85714287,11,1,30
