pupil_id,a01,treatment,pre_theta_sd,post_theta_sd,ple_tried,ple_pass,books_with,b_homework_pp,b_fem_pp,b_elec_pp,b_cement_pp,b_radio_pp,b_edhigh_teacher,b_fem_teacher,decile,scores_top,decile_decile,baseline_score,endline_score
8005055.0,8005.0,0.0,0.3861837765986638,0.0007369409615124381,0,0,0,1,1,0,0,1,0,1,6.0,1,0.0,34.0,30.0
8006001.0,8006.0,0.0,0.38574103842718654,0.9718402430627348,1,1,0,1,0,0,0,0,1,0,6.0,1,0.0,34.0,42.0
8006014.0,8006.0,0.0,0.30288148329114295,-0.13139239569152852,0,0,0,1,0,1,0,1,1,0,6.0,1,0.0,30.0,26.0
8006015.0,8006.0,0.0,0.3314151662871361,-0.07215295208566244,1,1,0,1,0,1,1,1,1,0,6.0,1,0.0,30.0,30.0
8006021.0,8006.0,0.0,0.3344616233790355,,0,0,0,1,1,0,1,1,1,0,6.0,1,0.0,30.0,
8006027.0,8006.0,0.0,0.5247668740679101,,0,0,0,1,1,0,0,1,1,0,6.0,1,0.0,34.0,
8007013.0,8007.0,1.0,0.28392566485724485,,0,0,0,1,0,0,0,1,0,0,6.0,1,2000.0,32.0,
8007016.0,8007.0,1.0,0.4434620498730011,0.2230256021532731,0,0,0,1,1,0,0,0,0,0,6.0,1,14000.0,34.0,34.0
8007028.0,8007.0,1.0,0.40526212848693577,0.973486255745248,1,1,0,1,1,0,1,1,0,0,6.0,1,12000.0,32.0,42.0
8007040.0,8007.0,1.0,0.47042111447413565,0.28804343735547006,0,0,0,1,0,0,1,1,0,0,6.0,1,16000.0,30.0,32.0
8008007.0,8008.0,0.0,0.474883157179685,,0,0,0,1,1,1,1,1,0,0,6.0,1,0.0,32.0,26.0
8008034.0,8008.0,0.0,0.4495388869723608,0.24528816935281214,0,0,0,1,0,1,0,1,0,0,6.0,1,0.0,32.0,32.0
8010027.0,8010.0,1.0,0.36083950639133966,0.3996823106092179,1,1,0,1,0,1,0,1,0,0,6.0,1,8000.0,32.0,36.0
8010056.0,8010.0,1.0,0.39034657161817693,,0,0,0,1,1,1,0,1,0,0,6.0,1,10000.0,34.0,
8010062.0,8010.0,1.0,0.4514602155478576,-1.0099938547955702,0,0,0,1,1,0,1,1,0,0,6.0,1,14000.0,32.0,20.0
8010072.0,8010.0,1.0,0.46627810663547065,,0,0,0,1,1,1,1,1,0,0,6.0,1,16000.0,32.0,
8013003.0,8013.0,0.0,0.5085371743116401,2.2517661480922886,1,1,0,1,1,1,0,0,0,0,6.0,1,0.0,34.0,56.0
8013034.0,8013.0,0.0,0.2840370680223916,0.6397759186813181,0,0,0,1,0,0,0,1,0,0,6.0,1,0.0,32.0,40.0
8013038.0,8013.0,0.0,0.2977681682564953,,0,0,0,1,0,0,0,0,0,0,6.0,1,0.0,30.0,
8014001.0,8014.0,0.0,0.337374416727334,,0,0,0,1,0,0,1,1,0,0,6.0,1,0.0,30.0,26.0
