id,treatment_match,costs,er_amount_total,dayXlocation,us_stu_insch,us_stu_edlvl,us_stu_grade,us_stu_edlvl_all,us_stu_female,us_stu_mig_rel,us_stu_age,us_stu_grade_all,us_stu_yearsofed,us_stu_mig_rel_child,us_stu_mig_rel_sib,us_stu_mig_rel_niece,us_stu_mig_rel_cousin,treatment_tmp1,treatment_tmp2
120179.0,0,0.0,0.0,2.18996,1.0,4.0,13.0,4.0,0.0,4.0,21.0,13.0,13.0,0.0,0.0,1.0,0.0,0.0,
120180.0,0,0.0,0.0,2.18998,1.0,4.0,10.0,4.0,1.0,1.0,15.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,
120182.0,0,0.0,0.0,2.19012,1.0,4.0,10.0,4.0,1.0,4.0,16.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,
120183.0,0,0.0,0.0,2.19012,1.0,5.0,2.0,5.0,1.0,6.0,20.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,
120184.0,0,0.0,0.0,2.19012,1.0,5.0,1.0,5.0,0.0,5.0,18.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0,
120185.0,0,0.0,0.0,2.18998,1.0,4.0,10.0,4.0,1.0,2.0,16.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,
120186.0,0,0.0,0.0,2.18998,1.0,4.0,10.0,4.0,0.0,4.0,17.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,
120187.0,0,0.0,0.0,2.18998,1.0,5.0,1.0,5.0,1.0,5.0,18.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0,
120188.0,0,0.0,0.0,2.18998,1.0,5.0,1.0,5.0,1.0,4.0,17.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0,
120189.0,0,0.0,0.0,2.18998,1.0,5.0,3.0,5.0,1.0,5.0,20.0,3.0,15.0,0.0,0.0,0.0,1.0,0.0,
120190.0,0,0.0,0.0,2.19008,1.0,4.0,10.0,4.0,0.0,1.0,19.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,
120191.0,0,0.0,0.0,2.19008,1.0,5.0,2.0,5.0,1.0,2.0,22.0,2.0,14.0,0.0,1.0,0.0,0.0,0.0,
120193.0,0,0.0,0.0,2.19024,1.0,4.0,11.0,4.0,1.0,8.0,16.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,
120194.0,0,0.0,0.0,2.19024,1.0,5.0,4.0,5.0,0.0,2.0,22.0,4.0,16.0,0.0,1.0,0.0,0.0,0.0,
120195.0,0,0.0,0.0,2.19002,1.0,5.0,2.0,5.0,0.0,5.0,22.0,2.0,14.0,0.0,0.0,0.0,1.0,0.0,
120197.0,0,0.0,0.0,2.19002,1.0,4.0,10.0,4.0,0.0,1.0,15.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,
120198.0,0,0.0,0.0,2.19002,1.0,5.0,5.0,5.0,0.0,1.0,22.0,5.0,17.0,1.0,0.0,0.0,0.0,0.0,
120199.0,0,0.0,0.0,2.19002,1.0,4.0,11.0,4.0,1.0,2.0,18.0,11.0,11.0,0.0,1.0,0.0,0.0,0.0,
120200.0,0,0.0,0.0,2.19008,1.0,4.0,11.0,4.0,1.0,1.0,16.0,11.0,11.0,1.0,0.0,0.0,0.0,0.0,
120202.0,0,0.0,0.0,2.19008,1.0,4.0,10.0,4.0,0.0,1.0,16.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,
120203.0,0,0.0,0.0,2.19008,1.0,4.0,10.0,4.0,0.0,1.0,16.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,
120204.0,0,0.0,0.0,2.19008,1.0,4.0,13.0,4.0,0.0,9.0,19.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,
120205.0,0,0.0,0.0,2.19002,1.0,4.0,10.0,4.0,1.0,1.0,15.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,
120206.0,0,0.0,0.0,2.19002,1.0,3.0,9.0,3.0,0.0,2.0,16.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,
120207.0,0,0.0,0.0,2.19002,1.0,5.0,2.0,5.0,1.0,4.0,18.0,2.0,14.0,0.0,0.0,1.0,0.0,0.0,
120208.0,0,0.0,0.0,2.19002,1.0,5.0,5.0,5.0,0.0,4.0,22.0,5.0,17.0,0.0,0.0,1.0,0.0,0.0,
120209.0,0,0.0,0.0,2.19002,1.0,5.0,2.0,5.0,1.0,1.0,21.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,
120210.0,0,0.0,0.0,2.19024,1.0,4.0,10.0,4.0,0.0,2.0,18.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,
120211.0,0,0.0,0.0,2.19024,1.0,4.0,10.0,4.0,0.0,5.0,14.0,10.0,10.0,0.0,0.0,0.0,1.0,0.0,
120212.0,0,0.0,0.0,2.19024,1.0,4.0,11.0,4.0,1.0,5.0,16.0,11.0,11.0,0.0,0.0,0.0,1.0,0.0,
120213.0,0,0.0,0.0,2.19012,1.0,4.0,11.0,4.0,0.0,5.0,17.0,11.0,11.0,0.0,0.0,0.0,1.0,0.0,
120214.0,0,0.0,0.0,2.19012,1.0,5.0,2.0,5.0,0.0,4.0,22.0,2.0,14.0,0.0,0.0,1.0,0.0,0.0,
120215.0,0,0.0,0.0,2.19012,1.0,3.0,9.0,3.0,1.0,1.0,16.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,
120216.0,0,0.0,0.0,2.19012,1.0,4.0,12.0,4.0,1.0,4.0,17.0,12.0,12.0,0.0,0.0,1.0,0.0,0.0,
120217.0,0,0.0,0.0,2.19012,1.0,5.0,4.0,5.0,1.0,4.0,19.0,4.0,16.0,0.0,0.0,1.0,0.0,0.0,
120218.0,0,0.0,0.0,2.19012,1.0,5.0,1.0,5.0,1.0,5.0,20.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0,
120219.0,0,0.0,0.0,2.19016,1.0,4.0,11.0,4.0,0.0,4.0,17.0,11.0,11.0,0.0,0.0,1.0,0.0,0.0,
120220.0,0,0.0,0.0,2.19016,1.0,4.0,10.0,4.0,0.0,4.0,14.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,
120221.0,0,0.0,0.0,2.19016,1.0,4.0,10.0,4.0,0.0,2.0,18.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,
120222.0,0,0.0,0.0,2.19016,1.0,4.0,13.0,4.0,1.0,9.0,18.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,
120223.0,0,0.0,0.0,2.19016,1.0,6.0,2.0,6.0,1.0,2.0,20.0,2.0,14.0,0.0,1.0,0.0,0.0,0.0,
120224.0,0,0.0,0.0,2.19016,1.0,4.0,13.0,4.0,0.0,2.0,18.0,13.0,13.0,0.0,1.0,0.0,0.0,0.0,
120226.0,0,0.0,0.0,2.19016,1.0,3.0,9.0,3.0,0.0,4.0,16.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,
120227.0,0,0.0,0.0,2.19016,1.0,4.0,13.0,4.0,0.0,1.0,17.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,
120228.0,0,0.0,0.0,2.19016,1.0,4.0,11.0,4.0,0.0,4.0,16.0,11.0,11.0,0.0,0.0,1.0,0.0,0.0,
120230.0,0,0.0,0.0,2.19016,1.0,5.0,1.0,5.0,1.0,1.0,19.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,
120231.0,0,0.0,0.0,2.19019,1.0,5.0,2.0,5.0,1.0,1.0,19.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,
120232.0,0,0.0,0.0,2.19019,1.0,4.0,13.0,4.0,0.0,4.0,17.0,13.0,13.0,0.0,0.0,1.0,0.0,0.0,
120234.0,0,0.0,0.0,2.19019,1.0,3.0,9.0,3.0,1.0,4.0,16.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,
120235.0,0,0.0,0.0,2.19019,1.0,4.0,11.0,4.0,1.0,4.0,16.0,11.0,11.0,0.0,0.0,1.0,0.0,0.0,
120236.0,0,0.0,0.0,2.19019,1.0,4.0,10.0,4.0,1.0,4.0,16.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,
120237.0,0,0.0,0.0,2.19019,1.0,6.0,1.0,6.0,0.0,5.0,18.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0,
120239.0,0,0.0,0.0,2.19019,1.0,6.0,1.0,6.0,0.0,4.0,17.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0,
120240.0,0,0.0,0.0,2.19019,1.0,4.0,12.0,4.0,0.0,4.0,17.0,12.0,12.0,0.0,0.0,1.0,0.0,0.0,
120241.0,0,0.0,0.0,2.19024,1.0,4.0,13.0,4.0,1.0,5.0,20.0,13.0,13.0,0.0,0.0,0.0,1.0,0.0,
120242.0,0,0.0,0.0,2.19024,1.0,6.0,1.0,6.0,0.0,1.0,15.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,
